Distance_km,Vehicle_Type,Passengers,Nominal_L_per_100km,Duration_min,Fuel_Consumed_L
10.3,Sedan,3,8.07,12.44,0.83
36.2,Bus,28,12.9,60.68,6.6
18.44,SUV,6,10.18,37.14,1.94
93.14,Sedan,3,4.98,113.51,4.78
63.34,SUV,1,11.83,114.91,8.31
108.21,SUV,3,6.68,192.11,9.15
9.35,Bus,24,21.46,31.06,2.76
21.63,Sedan,1,6.4,30.5,1.25
4.83,Van,14,10.34,18.71,0.63
29.83,SUV,4,9.28,46.89,2.5
10.29,Sedan,4,7.26,19.41,0.97
22.55,Bus,29,15.29,55.24,4.56
2.68,SUV,5,7.78,12.22,0.2
2.91,Sedan,3,7.28,6.28,0.32
11.51,SUV,2,6.44,18.54,0.82
12.93,Bus,10,16.25,28.45,2.71
51.2,Sedan,4,10.15,72.08,6.58
16.54,Sedan,2,5.34,35.1,0.83
31.87,Sedan,3,7.88,49.62,2.66
4.4,Sedan,3,5.8,14.2,0.2
26.99,Van,1,11.92,45.85,3.8
25.76,SUV,1,9.98,39.98,3.23
35.24,Sedan,3,7.85,54.02,2.93
24.99,Sedan,1,6.26,40.31,1.52
67.27,Sedan,3,8.89,103.16,6.32
17.24,Bus,5,16.23,42.75,3.04
10.86,Sedan,4,6.78,23.28,0.71
36.37,Bus,22,18.74,77.37,8.99
27.29,SUV,3,7.32,50.39,2.05
11.21,Sedan,1,6.16,24.42,0.55
32.24,Bus,43,18.48,78.09,10.23
43.53,SUV,4,8.35,62.5,4.47
28.06,Van,11,15.39,60.82,5.7
24.98,Bus,41,15.48,42.06,6.29
6.85,Sedan,1,7.92,5.63,0.66
16.85,Sedan,3,7.53,26.41,1.13
10.64,Van,3,10.98,29.33,1.22
32.81,Sedan,1,5.46,42.31,1.71
7.05,Sedan,4,5.58,10.35,0.51
7.6,Sedan,4,5.88,15.68,0.56
9.79,Sedan,4,4.36,18.79,0.53
12.38,Van,10,9.19,13.65,1.31
8.9,Sedan,2,4.72,10.98,0.37
16.31,SUV,6,11.02,23.82,2.18
17.49,SUV,7,9.93,30.33,2.11
40.19,SUV,2,10.18,87.27,4.19
10.93,Sedan,3,7.21,18.9,0.78
12.7,Van,12,11.3,29.97,1.75
31.41,Sedan,1,8.25,38.79,2.79
35.73,Van,2,9.9,42.2,3.58
23.64,Bus,6,18.32,57.08,3.95
31.28,SUV,5,10.12,55.59,3.24
4.64,SUV,5,7.02,7.57,0.3
37.66,SUV,3,13.64,59.52,4.79
20.98,Sedan,1,6.53,41.95,1.28
32.02,Bus,19,18.43,84.94,8.9
25.3,Bus,8,21.77,67.94,5.81
15.91,Sedan,3,7.6,23.95,1.25
28.06,SUV,5,9.06,52.11,2.83
14.22,Bus,14,18.39,41.16,3.2
75.08,Bus,38,13.49,191.26,13.27
6.3,SUV,2,8.17,13.06,0.68
37.04,SUV,5,9.78,69.7,4.31
26.77,Sedan,4,7.03,45.73,2.41
21.57,Bus,40,21.66,51.88,6.38
12.22,Sedan,2,6.36,26.16,0.86
27.64,SUV,4,6.92,49.73,2.43
21.07,Sedan,3,7.77,23.69,1.57
5.61,Sedan,1,8.22,10.31,0.55
32.75,SUV,4,10.35,46.73,3.47
28.22,Bus,27,17.51,76.01,6.54
10.81,Sedan,4,7.75,19.66,1.17
41.35,SUV,6,14.14,58.25,6.11
39.85,Sedan,4,6.64,39.21,3.09
8.42,Sedan,2,4.93,25.32,0.55
28.31,SUV,2,8.12,46.51,2.0
35.44,SUV,3,9.94,48.02,4.4
6.77,Sedan,2,4.57,14.32,0.34
3.64,Sedan,4,6.7,5.0,0.2
18.14,Sedan,4,6.96,32.01,1.28
14.58,Sedan,3,8.34,24.51,1.26
20.71,Bus,44,21.93,45.04,6.44
57.39,Bus,5,20.59,129.43,13.8
36.02,Sedan,1,4.0,54.85,1.55
12.79,SUV,4,10.38,29.91,1.4
24.51,Bus,11,20.12,49.79,6.25
22.68,Sedan,4,6.81,41.02,1.91
39.27,Van,10,7.89,69.98,4.13
36.89,Bus,28,15.67,99.37,9.1
20.61,Sedan,1,5.1,41.09,1.29
31.93,Sedan,1,4.08,36.1,1.15
43.66,Bus,22,17.99,89.43,10.07
33.18,SUV,2,7.8,44.5,2.69
12.58,Sedan,2,9.65,28.18,1.27
12.85,Sedan,3,6.3,24.54,0.93
5.72,SUV,2,10.94,14.56,0.63
12.22,Van,9,8.18,24.25,1.1
13.33,Van,13,10.05,33.03,1.4
2.7,Bus,11,18.29,5.0,0.6
9.18,Sedan,4,5.41,27.68,0.73
7.65,SUV,2,8.37,19.9,1.01
15.69,SUV,7,8.67,30.23,1.48
23.28,SUV,4,8.65,30.14,2.38
11.9,Sedan,4,8.73,18.05,1.24
52.89,Bus,21,19.13,115.56,14.73
9.02,Bus,34,19.44,19.23,2.2
2.21,SUV,6,9.81,13.22,0.28
19.98,SUV,5,9.92,28.93,2.02
34.73,Sedan,1,6.4,45.93,2.6
15.24,SUV,1,8.52,26.48,1.22
16.48,Van,4,11.3,35.83,1.86
63.14,SUV,4,10.74,125.61,8.44
36.55,Bus,26,21.38,60.33,10.72
24.77,SUV,7,8.64,35.7,2.79
20.78,Sedan,2,7.42,44.67,1.77
3.32,Van,11,10.65,7.36,0.28
46.03,Sedan,2,6.54,83.65,3.56
20.93,Sedan,2,5.93,29.84,1.24
6.8,Sedan,2,6.28,12.11,0.55
31.04,SUV,6,11.01,62.99,4.08
37.41,Van,7,11.17,57.66,4.6
16.13,SUV,4,9.2,27.76,1.94
13.7,Van,10,8.4,32.82,1.14
18.73,SUV,1,8.54,37.38,1.58
11.65,Sedan,4,6.21,16.76,0.68
8.81,Van,5,9.51,16.52,0.97
20.1,Sedan,2,6.53,36.68,1.45
36.34,Sedan,3,5.98,52.06,2.06
59.62,SUV,1,9.12,91.99,5.83
20.94,Sedan,1,6.65,29.98,1.36
53.17,Sedan,4,5.35,64.51,3.31
8.58,SUV,1,8.4,17.35,0.91
35.35,SUV,2,9.12,44.78,3.01
15.93,SUV,5,10.78,26.42,2.11
73.83,Bus,11,18.77,148.09,18.65
12.71,SUV,7,8.01,22.21,1.22
24.66,Bus,15,19.2,47.51,6.45
5.28,Sedan,4,8.55,9.07,0.47
14.94,SUV,1,10.38,31.38,1.57
39.77,Bus,27,19.64,103.1,11.9
34.5,SUV,1,10.09,68.34,3.31
24.83,Van,4,13.59,51.11,3.12
35.56,Sedan,3,7.79,66.94,3.04
19.6,Sedan,2,7.18,21.44,1.39
56.5,SUV,2,10.6,107.73,5.85
4.95,Sedan,2,5.2,8.34,0.22
24.31,Bus,41,13.49,34.13,5.18
5.84,Sedan,2,6.69,22.74,0.63
9.28,Bus,15,18.21,19.46,1.81
14.08,Bus,35,16.37,23.15,3.44
16.3,Sedan,2,7.49,28.81,1.05
19.83,Sedan,3,4.26,26.86,0.82
20.01,Bus,42,16.4,49.07,4.62
13.41,Bus,12,16.55,29.29,2.21
21.23,SUV,3,6.55,39.7,1.41
7.48,Sedan,4,8.29,10.26,0.8
37.06,SUV,3,6.96,53.54,3.16
31.74,Van,3,9.94,45.67,3.87
55.98,Sedan,3,7.59,106.19,4.0
28.19,Van,12,12.16,57.79,4.31
30.52,Sedan,1,5.17,46.83,1.86
30.14,Sedan,4,7.32,65.11,2.07
10.83,Sedan,1,6.85,19.84,0.67
24.17,Sedan,2,9.3,30.7,2.3
15.38,Sedan,3,6.98,25.87,1.05
25.88,SUV,4,8.79,44.35,2.56
28.74,Sedan,1,5.47,50.88,1.46
34.18,Sedan,1,5.61,54.36,2.07
30.04,Sedan,1,5.51,43.72,1.81
30.59,Bus,35,22.11,59.29,9.97
16.12,SUV,1,9.03,24.73,1.36
93.15,SUV,3,9.85,155.05,10.66
29.22,SUV,4,11.27,57.94,3.46
22.02,Bus,21,10.92,61.13,3.02
43.71,Sedan,3,8.03,67.3,3.68
17.31,Van,3,11.1,17.42,2.01
6.11,Van,8,11.78,11.92,0.74
12.52,SUV,3,7.76,27.32,0.93
8.93,Sedan,4,5.59,17.65,0.5
26.38,Van,8,11.88,57.34,3.62
36.61,Sedan,1,9.36,47.11,4.09
7.99,SUV,6,10.5,17.3,1.04
31.51,Van,10,13.28,46.41,4.72
30.02,Sedan,3,6.27,48.66,1.84
54.28,Van,7,9.92,97.36,6.15
40.88,Sedan,2,5.56,70.81,2.29
12.52,Van,14,10.12,27.22,1.58
16.22,SUV,3,5.92,26.06,0.99
17.33,Sedan,3,5.63,20.6,0.96
49.58,Sedan,3,5.83,65.08,3.01
56.51,Bus,30,17.47,119.46,14.71
29.28,Sedan,2,6.66,53.57,1.78
6.68,Sedan,4,6.93,19.06,0.36
19.02,Sedan,3,6.48,34.05,1.28
71.44,SUV,5,8.13,118.96,6.83
22.49,SUV,2,6.05,46.44,1.61
2.0,Sedan,1,5.81,10.68,0.25
20.95,Sedan,1,5.33,34.24,1.37
45.36,Sedan,2,7.06,75.42,2.88
5.22,Sedan,2,7.59,20.58,0.22
7.0,SUV,2,10.41,13.34,0.92
48.4,Van,7,12.36,68.63,6.44
32.5,Sedan,1,6.34,42.25,2.48
31.77,Sedan,4,5.87,48.69,2.1
4.13,Sedan,1,5.6,9.66,0.24
13.39,Bus,15,13.48,32.85,2.09
29.87,Bus,24,20.98,52.91,8.29
8.77,Van,10,10.69,28.43,1.06
28.4,Sedan,2,5.0,40.6,1.12
8.98,Sedan,3,5.51,16.22,0.68
6.2,Sedan,2,5.46,12.02,0.33
29.14,Sedan,1,6.55,45.22,2.12
22.53,SUV,3,10.6,32.52,2.87
19.22,Van,4,10.37,25.17,2.14
20.52,Bus,23,11.24,46.0,3.58
20.53,Van,13,10.66,26.62,2.91
4.83,Sedan,3,6.31,18.27,0.33
36.47,Van,13,10.6,45.64,5.5
46.64,Sedan,3,5.75,72.23,2.41
59.83,Sedan,4,6.76,101.71,3.71
25.94,Van,2,11.12,57.76,2.68
6.19,Sedan,1,6.47,16.94,0.53
35.76,SUV,2,9.62,64.16,3.95
23.42,Sedan,3,5.98,41.58,1.77
24.65,Van,7,10.12,32.23,2.61
10.77,Van,3,13.48,27.08,1.33
28.33,Sedan,3,7.17,44.67,2.05
36.5,Van,8,12.49,60.58,4.66
23.59,Sedan,3,7.97,46.56,2.22
14.95,SUV,4,9.79,26.56,1.56
15.86,Van,2,12.67,33.46,2.33
25.08,Van,12,8.16,45.46,2.5
15.34,Bus,39,18.61,43.48,4.42
8.23,Sedan,3,6.28,17.73,0.61
35.37,Van,11,14.02,56.59,5.62
21.78,SUV,6,10.39,44.34,2.92
23.85,Bus,35,16.11,45.68,5.46
12.92,Sedan,3,6.95,17.11,1.02
8.21,Van,5,11.3,18.31,1.15
11.3,SUV,5,9.68,24.05,1.26
14.3,Sedan,3,5.28,24.84,0.81
15.2,SUV,4,9.54,22.77,1.8
19.38,Sedan,1,6.23,25.03,1.16
39.45,SUV,3,9.42,48.17,3.48
33.11,Bus,39,15.83,81.71,7.09
31.45,SUV,1,8.12,41.54,2.74
8.5,SUV,4,10.76,17.64,1.01
30.2,SUV,5,7.42,54.49,2.6
38.83,Sedan,3,5.33,75.89,2.47
15.1,Sedan,4,6.44,19.18,1.24
8.05,SUV,1,7.84,10.33,0.66
28.78,Sedan,1,5.44,58.62,1.76
32.73,Sedan,1,6.63,49.25,2.37
20.73,SUV,4,6.74,36.05,1.5
36.15,Sedan,2,5.29,66.3,1.75
21.74,Sedan,2,8.96,36.04,1.83
10.2,SUV,6,9.69,20.96,1.25
21.51,Sedan,2,5.6,35.12,1.37
23.26,Bus,6,19.25,58.23,5.26
20.48,Bus,19,19.7,59.79,5.75
6.69,Van,9,12.79,16.73,0.92
53.01,Sedan,2,6.35,84.9,3.62
71.26,Van,4,12.76,110.68,9.26
17.71,Van,13,7.33,34.82,1.66
18.99,Van,4,9.1,50.81,1.71
21.66,Sedan,4,6.7,39.6,1.8
19.76,SUV,4,9.49,33.85,1.98
10.4,Van,11,9.36,29.48,1.21
34.5,SUV,1,9.39,68.28,3.84
35.54,SUV,5,8.06,56.68,2.84
19.43,SUV,3,8.58,34.28,1.72
18.56,SUV,7,10.54,27.74,2.56
18.21,Sedan,1,7.59,25.58,1.55
33.95,SUV,5,7.5,43.6,2.66
21.34,Sedan,4,5.23,27.8,1.35
17.56,SUV,3,8.38,23.55,1.51
8.2,Sedan,2,6.47,19.0,0.55
37.36,SUV,2,8.01,48.89,2.88
12.2,Sedan,4,7.75,17.33,1.39
8.07,Van,14,11.63,18.68,1.21
30.3,Van,10,11.73,53.47,4.05
21.16,Sedan,1,4.98,33.99,1.17
73.54,Sedan,2,7.9,136.51,5.69
7.19,Sedan,2,4.0,13.14,0.31
13.83,Bus,15,20.5,25.4,3.65
30.25,SUV,3,10.4,53.02,2.97
20.45,SUV,4,8.35,40.68,2.02
23.51,Sedan,3,8.03,33.29,2.23
23.46,SUV,1,8.91,36.07,2.62
5.04,Bus,5,18.19,10.26,1.06
24.49,Van,1,11.61,40.23,3.49
33.18,SUV,6,13.78,69.17,4.39
10.96,Sedan,2,8.11,31.19,0.92
11.47,Sedan,1,7.34,23.12,0.82
15.4,Sedan,2,5.4,29.53,0.79
7.87,Sedan,2,6.67,15.68,0.52
10.0,Sedan,2,5.52,29.91,0.56
21.95,Sedan,4,7.49,37.05,1.68
44.23,Sedan,2,6.67,60.61,2.93
14.18,Bus,8,14.63,32.96,2.11
55.88,SUV,7,9.12,75.28,5.05
14.01,Van,1,9.47,26.0,1.37
35.12,Van,9,11.27,56.96,4.25
11.99,Sedan,2,5.47,27.57,0.68
26.78,Van,10,11.05,53.43,3.32
51.38,Sedan,4,7.4,91.92,3.83
30.77,SUV,7,8.92,54.22,2.67
19.04,Sedan,1,6.03,34.52,1.1
18.21,Bus,31,18.61,46.36,4.46
27.02,Sedan,4,7.34,51.04,2.38
32.55,Sedan,1,5.17,49.21,2.06
34.9,Bus,27,18.78,93.66,9.9
22.16,Sedan,3,8.08,30.87,2.13
26.35,Van,9,12.03,51.93,4.03
11.61,Van,13,11.1,24.84,1.5
28.65,Van,8,12.15,47.7,4.2
12.14,Bus,20,19.36,44.62,3.36
23.69,Bus,20,20.26,54.64,5.67
16.56,Sedan,4,4.07,27.66,0.74
48.16,Van,4,8.2,85.11,5.11
22.02,SUV,5,10.51,30.1,2.56
51.3,SUV,3,6.74,100.16,3.46
20.62,Sedan,2,6.98,44.34,1.45
56.67,Van,10,10.37,127.0,7.06
29.5,Bus,6,15.01,63.17,4.21
5.31,Bus,7,19.05,17.7,1.1
16.81,SUV,7,9.3,36.36,1.44
12.99,Sedan,4,9.03,21.52,1.21
8.36,Sedan,2,5.75,11.12,0.52
12.47,Van,9,13.59,17.76,2.12
14.51,Van,13,11.63,36.96,1.82
5.73,SUV,4,8.01,7.83,0.55
18.82,Sedan,3,7.46,32.73,1.68
28.64,SUV,2,9.85,46.84,3.15
74.66,SUV,7,9.05,101.71,7.68
45.35,Bus,31,18.8,127.19,12.43
18.35,SUV,2,8.1,26.94,1.84
21.64,Sedan,3,5.51,31.44,1.25
30.37,SUV,5,10.14,48.55,3.39
19.29,Sedan,1,6.23,36.0,1.41
22.32,Bus,37,17.76,54.33,5.54
12.47,Sedan,2,6.84,17.51,0.73
21.08,SUV,2,9.4,38.91,2.21
23.0,Sedan,2,4.78,30.3,1.02
8.56,Van,7,13.32,22.25,1.14
29.87,Van,6,11.22,58.12,3.75
30.79,Van,14,10.64,66.54,4.12
31.58,Sedan,3,7.02,40.14,2.52
12.65,Sedan,1,6.78,21.58,0.87
51.34,Sedan,3,7.42,52.95,3.82
16.89,Van,8,11.97,33.21,1.87
9.18,Sedan,1,7.36,15.29,0.91
49.23,SUV,5,11.03,96.13,5.6
10.6,Bus,30,20.65,38.3,2.89
25.9,Bus,33,17.52,58.87,5.76
14.09,SUV,3,7.32,25.99,1.37
6.51,SUV,4,11.5,8.2,0.77
10.36,Sedan,1,6.21,13.42,0.58
45.83,Van,8,10.15,99.17,4.75
21.77,Van,7,7.87,38.47,2.14
15.06,Sedan,3,6.91,28.82,1.07
17.7,SUV,4,9.22,42.65,1.93
9.38,Van,7,8.27,26.55,0.91
11.76,Bus,40,19.36,25.8,3.54
35.02,Sedan,2,5.9,47.52,2.39
24.51,SUV,7,13.04,44.03,3.12
21.0,Sedan,2,5.82,43.42,1.62
18.73,Sedan,1,5.98,34.81,1.32
5.79,Bus,37,15.38,8.01,1.52
19.79,Van,6,13.3,30.29,2.44
35.04,Van,5,10.33,55.19,3.46
13.86,Sedan,1,5.63,20.4,0.65
19.99,Van,1,12.27,54.98,2.6
3.08,SUV,5,6.93,13.34,0.2
43.39,Sedan,3,7.25,83.43,3.95
51.74,SUV,1,11.67,79.48,6.95
51.55,Sedan,3,7.18,65.42,4.53
6.27,Van,4,12.15,15.36,0.82
36.86,SUV,1,10.31,57.11,4.25
2.08,Sedan,4,8.55,5.58,0.25
38.14,Sedan,2,7.95,45.22,3.67
20.79,Sedan,2,7.03,28.01,1.7
16.48,Sedan,3,7.58,33.14,1.37
36.69,SUV,2,7.67,37.72,3.35
22.58,Van,11,12.4,38.76,3.68
11.71,Sedan,4,5.29,19.8,0.67
32.11,Sedan,4,6.06,58.35,2.54
42.53,SUV,1,4.38,78.2,1.96
35.04,Van,8,11.72,72.91,4.54
36.39,Sedan,2,5.73,74.47,2.01
9.29,Sedan,3,7.83,16.52,0.87
14.79,SUV,3,9.59,27.3,1.46
24.79,Sedan,1,7.85,42.33,2.32
48.49,Sedan,1,5.2,85.13,2.94
12.01,Van,6,12.87,30.67,2.05
46.98,SUV,3,12.16,74.5,7.06
5.01,SUV,1,10.15,16.55,0.54
43.46,Van,8,12.42,60.87,5.59
41.11,Van,6,11.31,58.53,4.49
64.0,Sedan,4,5.87,63.93,4.35
37.97,Sedan,3,7.41,67.82,2.76
26.21,Sedan,1,4.69,33.11,1.3
16.62,Sedan,2,6.0,25.67,1.2
15.28,Van,2,7.81,40.2,1.13
20.34,Bus,17,15.89,44.36,3.68
15.84,Bus,12,19.93,42.68,3.89
32.1,SUV,4,9.76,61.61,3.75
37.41,Sedan,4,6.56,66.77,2.77
11.37,Sedan,3,6.7,16.22,0.78
38.59,Van,9,7.61,76.64,3.24
27.38,SUV,2,8.44,42.46,2.66
17.45,SUV,5,7.98,31.95,1.59
42.87,Van,7,9.81,64.8,4.38
12.64,Van,11,12.08,24.77,1.68
8.24,Van,9,9.45,18.51,0.84
12.2,Sedan,3,5.77,24.74,0.71
14.8,Van,10,7.24,31.03,1.4
41.83,Bus,39,17.12,111.7,10.88
40.6,Sedan,2,5.19,59.86,2.42
21.89,SUV,4,9.12,43.02,2.07
4.32,Sedan,3,5.36,11.46,0.25
13.15,Bus,44,18.31,35.42,4.24
60.24,Sedan,4,6.33,90.09,4.32
35.96,SUV,4,11.51,40.51,4.31
4.04,Sedan,4,7.1,5.0,0.26
2.59,Van,1,7.69,5.0,0.31
35.0,Sedan,2,4.98,51.02,1.94
47.64,Sedan,1,6.57,67.31,3.19
9.97,SUV,4,7.61,20.56,0.87
12.74,Bus,7,9.09,36.94,1.45
39.74,Sedan,2,8.12,50.74,3.78
17.48,Sedan,2,7.36,18.92,1.2
19.12,Van,4,11.94,31.71,2.86
18.5,SUV,7,8.09,44.01,1.73
23.39,Bus,22,19.28,69.35,6.06
26.62,Sedan,1,5.65,45.87,1.41
63.33,SUV,3,9.31,77.17,6.96
16.53,Sedan,2,5.4,28.13,1.02
19.07,Sedan,3,8.32,22.27,1.35
9.24,Van,3,8.17,21.52,0.68
23.23,SUV,5,10.85,37.43,3.11
41.6,Van,1,11.07,80.63,5.62
12.64,Sedan,1,5.91,23.03,0.62
11.32,SUV,2,9.25,18.67,1.31
39.34,SUV,3,10.1,47.54,3.96
26.53,Bus,21,22.1,59.44,7.69
11.39,Sedan,4,6.88,23.63,0.99
24.04,Sedan,4,5.43,42.51,1.57
10.61,Sedan,4,6.57,20.22,0.71
17.04,SUV,6,11.73,30.2,2.26
18.15,Sedan,1,8.12,20.33,1.4
38.98,Bus,5,20.73,67.36,8.49
30.9,Sedan,3,7.45,49.47,2.48
40.44,Bus,18,20.1,68.87,12.06
16.84,Sedan,4,7.89,33.07,1.57
29.05,Van,4,10.18,54.67,3.03
5.58,Bus,36,13.93,21.1,1.45
11.08,Sedan,1,6.58,19.16,0.72
8.13,Bus,21,15.55,19.69,1.68
35.43,SUV,4,7.42,72.27,3.21
56.8,Bus,25,15.84,155.66,11.94
18.72,Van,8,15.47,31.42,3.6
30.47,Sedan,2,6.66,52.19,2.35
29.99,Sedan,4,6.93,43.16,2.42
53.53,Sedan,3,5.03,76.9,2.83
17.03,Sedan,4,4.29,28.93,0.87
22.8,Sedan,4,5.52,34.6,1.65
11.36,Sedan,2,8.23,17.65,0.7
8.73,SUV,4,9.5,19.24,1.01
32.98,Van,5,12.08,44.82,4.28
13.12,Sedan,4,7.39,29.8,1.09
13.65,Sedan,2,5.79,24.46,0.83
28.55,SUV,5,11.08,53.69,3.39
17.95,Sedan,4,5.74,31.61,1.37
33.42,Sedan,1,8.19,56.89,3.44
33.83,Sedan,3,7.03,69.21,2.66
24.2,Bus,41,12.63,41.95,4.78
22.44,Van,12,9.65,46.24,2.11
56.13,Sedan,4,4.36,86.45,3.02
19.69,Van,6,13.09,39.93,2.65
34.73,SUV,4,8.96,46.43,3.02
10.63,Van,2,6.99,20.87,0.71
22.08,Van,11,11.68,37.8,2.83
34.87,SUV,3,8.19,40.97,2.67
11.72,Sedan,1,4.72,23.34,0.58
20.48,Sedan,1,8.51,39.63,2.35
21.65,SUV,1,9.16,47.68,2.29
12.25,Bus,21,17.12,31.36,2.88
13.71,SUV,4,8.4,27.38,1.28
10.41,Van,14,8.28,16.51,1.03
3.77,Bus,41,14.09,10.5,0.9
10.8,Sedan,3,8.04,18.96,1.1
24.07,Van,4,10.15,35.54,3.17
14.1,Van,6,11.04,33.66,1.54
20.61,Bus,25,11.87,42.69,2.98
22.59,Bus,17,14.05,52.31,4.13
18.52,Van,6,12.1,41.47,2.75
34.53,Sedan,3,6.95,68.37,2.6
67.87,Van,5,14.16,104.86,11.24
10.89,Sedan,2,8.11,22.83,1.02
38.94,Van,8,10.58,90.1,5.31
12.3,Bus,22,19.42,34.83,3.09
27.22,Sedan,1,6.12,50.69,1.83
8.11,SUV,7,12.08,19.38,1.25
25.94,SUV,6,10.72,44.87,3.26
16.35,SUV,6,9.25,24.52,1.51
16.06,Sedan,2,6.74,20.67,1.22
24.03,Van,8,13.6,34.78,3.46
10.01,Bus,29,19.74,24.09,3.19
9.96,Bus,34,22.68,27.28,2.8
16.81,Sedan,4,4.0,30.41,0.84
38.32,Bus,34,19.38,87.47,10.59
17.11,Van,5,10.07,41.14,1.92
68.7,Sedan,4,8.61,86.12,6.26
80.63,Sedan,3,8.36,93.2,8.17
20.34,Sedan,2,6.54,28.2,1.37
54.89,Bus,13,22.61,133.92,14.48
11.14,SUV,7,11.67,21.52,1.45
21.97,Van,1,11.13,36.94,2.41
24.72,Sedan,3,9.47,42.53,2.42
30.88,Van,13,10.94,60.97,4.77
7.02,Sedan,3,6.24,7.81,0.61
23.7,Sedan,4,7.54,41.03,2.38
45.47,SUV,3,8.47,81.34,3.91
3.46,Sedan,1,6.6,5.53,0.2
11.68,Van,6,13.54,15.77,2.0
46.12,Sedan,3,6.52,73.12,3.17
13.86,Van,13,7.95,28.0,1.26
23.18,SUV,2,9.55,42.22,2.72
27.78,SUV,4,7.96,52.16,2.18
11.71,Sedan,4,7.54,17.38,0.86
8.88,Sedan,2,7.34,18.47,0.68
18.46,Bus,25,22.41,51.64,5.29
40.8,Sedan,1,7.59,46.67,3.43
23.82,Van,4,12.96,39.74,3.27
9.05,Bus,24,15.99,22.15,2.12
34.89,Sedan,4,7.46,62.42,2.99
9.44,Sedan,4,8.86,15.55,0.99
27.3,Van,13,9.76,58.47,3.74
19.13,Bus,40,23.4,49.23,6.06
15.59,Bus,22,16.35,39.87,3.78
17.82,SUV,6,7.72,38.75,1.53
19.51,Van,1,11.53,25.47,2.49
20.74,Sedan,2,7.36,29.83,1.42
24.75,Bus,22,20.74,61.21,5.92
38.2,Bus,38,15.11,67.82,9.66
59.38,Sedan,3,7.02,100.16,4.22
21.24,Sedan,3,5.68,36.31,1.25
35.61,Sedan,4,4.71,61.13,1.58
22.9,Sedan,3,5.39,40.58,1.43
17.08,Van,11,9.65,34.21,2.05
25.54,Sedan,2,7.13,49.29,2.13
6.96,Sedan,4,7.88,13.67,0.86
10.58,Sedan,4,4.73,12.56,0.58
8.49,Bus,21,19.06,26.05,2.0
24.62,SUV,7,7.23,58.6,2.06
4.31,SUV,6,9.94,11.08,0.62
7.77,Sedan,3,5.75,14.64,0.54
5.3,Bus,12,14.85,15.33,1.05
21.51,Van,8,12.44,36.93,3.43
15.41,Sedan,3,5.8,37.28,0.91
17.91,Sedan,4,6.12,28.41,1.56
27.34,Sedan,4,4.0,49.12,1.37
20.11,Sedan,1,7.64,34.64,1.91
16.59,SUV,4,10.23,35.14,1.66
4.22,Bus,32,18.02,11.42,0.95
27.37,SUV,3,6.71,36.18,2.09
3.93,Van,14,13.18,10.1,0.61
23.93,SUV,2,8.0,32.37,2.07
103.19,Van,6,10.18,162.14,10.03
30.32,Van,6,15.16,63.06,5.88
13.13,Sedan,3,5.66,12.52,0.78
37.27,Sedan,4,7.39,68.07,3.08
65.25,SUV,2,9.84,82.56,7.88
41.12,Sedan,1,6.97,50.84,3.42
49.41,Sedan,3,6.84,51.91,4.08
11.09,SUV,6,9.56,22.04,1.16
15.66,Bus,18,18.82,40.08,3.61
33.21,SUV,4,8.92,50.46,3.21
19.78,Van,1,13.72,48.57,2.54
10.44,SUV,7,7.03,29.23,0.78
30.64,Van,1,12.84,54.62,4.68
33.13,SUV,5,10.23,53.22,3.6
17.11,Bus,12,20.1,53.15,3.59
9.21,SUV,2,10.68,24.46,1.22
15.14,SUV,2,8.86,20.86,1.56
16.01,SUV,5,6.2,28.17,0.89
22.99,SUV,7,8.89,34.67,2.28
8.02,Sedan,3,5.31,15.95,0.32
18.72,Sedan,4,5.62,32.64,1.19
14.35,Sedan,3,5.01,31.13,0.62
30.85,Bus,28,16.57,60.95,6.86
134.09,Sedan,1,5.78,147.29,7.21
23.83,Sedan,3,4.0,41.36,0.85
20.34,Van,14,12.26,42.12,3.12
27.0,Sedan,1,9.16,40.92,2.42
33.73,SUV,5,9.91,59.81,4.16
2.0,Sedan,1,6.26,6.09,0.21
20.22,Bus,12,17.84,45.92,4.52
36.28,Bus,11,16.74,70.92,7.12
5.77,Bus,43,18.27,14.41,1.65
23.7,SUV,2,8.94,51.0,2.08
38.53,Van,11,9.49,88.52,3.65
63.93,Sedan,4,8.52,92.08,6.32
25.35,Sedan,4,4.72,32.2,1.42
30.71,Sedan,4,7.36,58.79,2.84
28.76,SUV,3,8.85,48.37,3.15
6.97,SUV,4,11.85,14.3,1.12
79.06,SUV,3,9.51,94.55,9.49
26.77,Sedan,4,6.07,43.59,2.06
18.25,SUV,4,8.63,25.99,1.75
46.09,Van,11,11.07,83.41,5.35
12.4,SUV,2,7.29,20.18,0.85
29.17,Van,6,9.62,63.99,3.63
17.08,Sedan,2,4.36,31.16,0.78
12.06,Van,3,9.34,30.24,1.0
21.62,SUV,3,9.14,24.25,2.09
23.72,Sedan,1,6.86,40.17,1.99
19.84,Sedan,1,4.12,29.6,1.0
83.92,SUV,7,8.79,129.72,8.26
23.59,Van,9,12.01,41.37,3.01
16.55,SUV,2,8.76,27.33,1.75
23.19,Sedan,2,5.74,42.73,1.49
33.39,Bus,14,16.76,80.63,5.89
28.03,Van,1,10.03,47.55,3.4
54.75,SUV,2,8.04,83.99,5.05
25.45,SUV,6,9.26,37.24,2.39
